,Period,Detailed Forecast
0,Tonight,"Clear, with a low around 55. North wind 11 to 13 mph."
1,Tuesday,"Sunny, with a high near 72. Northwest wind around 11 mph."
2,Tuesday Night,"Partly cloudy, with a low around 57. North wind 6 to 10 mph becoming west in the evening."
3,Wednesday,"Sunny, with a high near 73. Northwest wind 10 to 13 mph, with gusts as high as 18 mph."
4,Wednesday Night,"Mostly clear, with a low around 56. West wind around 14 mph, with gusts as high as 20 mph."
5,Thursday,"Mostly sunny, with a high near 73. North wind around 11 mph."
6,Thursday Night,"Mostly cloudy, with a low around 62. Northeast wind 7 to 9 mph."
7,Friday,"Partly sunny, with a high near 74. North wind around 9 mph becoming southeast in the afternoon."
8,Friday Night,"Mostly clear, with a low around 62. South wind around 8 mph becoming northwest after midnight."
9,Saturday,"Sunny, with a high near 75."
10,Saturday Night,"Mostly clear, with a low around 68."
11,Sunday,"Showers likely and possibly a thunderstorm.  Partly sunny, with a high near 78. Windy.  Chance of precipitation is 60%."
12,Sunday Night,"Showers and thunderstorms likely.  Partly cloudy, with a low around 68. Breezy.  Chance of precipitation is 60%."
13,Monday,"Showers and thunderstorms likely.  Mostly sunny, with a high near 76. Windy.  Chance of precipitation is 60%."
